Afghanistan                                                                                                                                           ,2018,96.6 ,   13.6,    6.5,    9.1,    0.5,    0.8,    3.4,   28.9,    6.3,    4.7,    3.3,    0.1,     70,     50,59,16,102,93,"5,678 ",Afghanistan,,,N,N,,
Albania                                                                                                                                               ,2018,100 ,    6.8,    3.6,   31.4,   53.3,      0,      0,   15.6,      0,      0,   10.0,      0,     20,     15,9,6,101,132,"9,536 ",Albania,,,N,N,,
Algeria                                                                                                                                               ,2018,,,   18.9,,    1.4,,      0,,   42.5,,    0.1,,,     60,,5,,54,"16,516 ",Algeria,,,,N,,
Angola                                                                                                                                                ,2018,100 ,   59.1,    9.2,      0,   45.1,      0,      0,   99.2,   21.8,      0,   13.6,      0,     80,     70,6,10,8,152,"5,590 ",Angola,,,N,N,,
Antigua and Barbuda                                                                                                                                   ,2018,95.7 ,   59.6,    9.9,      0,   10.0,      0,    0.1,   95.7,   24.5,    0.2,    6.8,      0,    220,     70,32,14,38,94,"6,705 ",Antigua and Barbuda,,,N,N,,
Argentina                                                                                                                                             ,2018,100 ,   31.8,   13.6,    0.0,    5.9,      0,      0,   97.8,   36.4,      0,      0,      0,     35,     35,17,18,23,75,"10,032 ",Argentina,,,N,N,,
Armenia                                                                                                                                               ,2018,100 ,    8.7,    6.5,   35.3,   16.1,      0,    8.2,      0,    0.8,      0,    0.8,      0,     15,     55,9,389,80,93,"12,049 ",Armenia,,,N,N,,
Australia                                                                                                                                             ,2018,97.1 ,    9.7,    2.5,   22.4,   51.0,    0.4,    0.1,   13.3,    0.1,    5.8,    0.1,      0,     55,     23,74,9,115,96,"6,482 ",Australia,,,N,I,,
Bahamas                                                                                                                                               ,2018,,,   32.5,,   14.3,,    0.0,,   79.1,,    0.1,,,    257,,17,,65,"6,123 ",Bahamas,,,,I,,
"Bahrain, Kingdom of                                                                                                                                   ",2018,71.8 ,   34.9,    5.3,    2.1,   10.5,      0,    0.2,   69.7,    0.8,    0.3,    0.8,      0,    200,    200,4,13,40,220,"7,520 ","Bahrain, Kingdom of",,,N,I,,
Bangladesh                                                                                                                                            ,2018,16.8 ,  154.0,   14.0,    0.0,    4.4,      0,    0.4,   16.1,   41.7,      0,      0,      0,    200,     25,17,28,50,67,"7,134 ",Bangladesh,,,N,N,,
Barbados                                                                                                                                              ,,95.7 ,   78.8,,      0,,      0,,   95.7,,    0.4,,      0,    247,,29,,30,,,Barbados,,,N,,,
Belarus                                                                                                                                               ,2018,,,    6.8,,   16.0,,    9.3,,    1.8,,    0.8,,,    308,,415,,127,"12,049 ",Belarus,,,,I,,
Belize                                                                                                                                                ,2018,96.6 ,   59.3,   11.9,      0,   11.2,      0,    0.5,   96.6,   26.5,      0,   10.6,      0,    110,    110,5,37,32,123,"6,754 ",Belize,,,N,I,,
Benin                                                                                                                                                 ,2018,39.6 ,   29.4,   12.2,    0.7,    1.5,      0,      0,   18.4,   39.0,    0.9,      0,      0,    100,     35,14,5,93,61,"5,898 ",Benin,,,N,N,,
"Bolivia, Plurinational State of                                                                                                                       ",2018,100 ,   40.0,   11.8,      0,    7.0,      0,      0,  100.0,   20.7,      0,    6.4,      0,     40,     40,2,7,1,80,"7,760 ","Bolivia, Plurinational State of",,,N,N,,
Bosnia and Herzegovina                                                                                                                                ,2018,,,    6.3,,   31.7,,    3.1,,    2.6,,    2.3,,,    319,,211,,131,"10,317 ",Bosnia and Herzegovina,,,,I,,
Botswana                                                                                                                                              ,2018,94.3 ,   18.8,    7.7,   14.3,   60.4,      0,    2.7,   39.4,   20.7,    2.8,    9.6,      0,    597,    223,56,205,129,145,"7,905 ",Botswana,,,N,I,,
